sentence,target
I have read all of Grisham's books and this was by far the most boring one!,0
The story is about a lawyer who gives up his high paying job to help the homeless in an office staffed by 2 other people.,0
There is no mystery to the story.,1
"Grisham's books are normally mysterious, can't wait to finish it, a"" who done it"" style.",1
"This book does not have any surprises, its dull.",1
I expected a book like other books ( f.i.,0
Pelican Brief etc ) he has written.,0
It definitely was not!,1
I would definitely not recommend it to anybody,1
"When I read a John Grisham book, I do not expect literary greatness as one would expect when picking up a Charles Dickens tome.",1
"However, I do expect a mystery thriller to keep me interested for at least a couple of hours.",0
"Well, The Street Lawyer  disappointed me.",0
"The novel evolves around Michael Brock, a workhaholic attorney and rising star at the prestigious law firm of Sweeney and Drake, whose life was forever changed when a homeless man took him and a couple other lawyers hostage at the office.",0
The intruder was shot dead but the incident led Brock to major soul searching after which he decided to leave his promising career to become a public interest attorney.,0
"Along the way, Brock discovered that his firm was involved in the wrongful eviction of the intruder and he vowed to learn the truth.",0
"Unlike many of his other novels, Grisham failed to create any suspense.",0
"There were no twists in the plot to hook a reader - by the middle of the book, the reader already knew what the ending was going to be like and there were no surprises as to how Michael Block got there.",1
The climax of the story involves lawyers meeting in a judge's chamber to discuss a settlement.,0
Exciting?,0
Not really.,1
Part of the problem may have been due to Grishams overeagerness to educate the readers about the plight of the homeless.,0
"While this is no question a noble cause, it was a significant detraction to the development of the story.",1
The subplots about the homeless characters Block encountered ended up overwhelming the main storyline.,0
I also found Block's transformation from a money-hungry associate striving to make partner in a large firm to an idealistic lawyer hoping to change the world a bit forced and somewhat unconvincing.,0
"If you are a Grisham fan, by all means read The Street Lawyer.",0
But prepare to be disappointed.,0
"It is definitely not"" The Firm"".",1
"I always used to be a loyal Grisham fan, but this book changed all that for me, and I fell I have no choice but to pan this book.",1
This book seems to be the turning moment when he simply stopped being able to write a good novel.,0
The best thing that I can say about this is that it is informative...,0
that's it!,0
"It does not even attempt to be captivating in any way like his previous books, which really hook you, or even interesting in the least.",1
You leave this book feeling as if you have just gotten out of a five hour lecture about the homeless problem in the United States.,0
This work has non of Grisham's usual suspense and thrill which have always made his books a pleasure to read.,1
"Skip it and stick to A Time to Kill, The Rainmaker, or The Runaway Jury",0
"I got this book, because it was a Grisham book that I had not read ( the only one besides The Chamber ) so far.",1
"In a nut shell, a homeless bum gets into the conference room of an upper crust law firm in D.C. and holds several lawyers hostage for several hours.",0
"While there, he tries to lay a guilt trip on the lawyers who all took home at least 6 figures last year, yet donated almost nothing to the poor.",0
"Most of them were too afraid for their lives to feel guilty, except for Michael Brock.",0
"When the ordeal is over, Michael's career takes a turn.",0
He become determined to make a difference.,0
"He and his wife are at a difficult time in their marriage, with him spending as much as 18 hrs at the office, she fills her time by going to medical school, and becomes a doctor, now neither has the time for the other--and divorce is inevitable.",0
Michael meets up with Mordecai Green a'Street Lawyer' and this inspires him to become one also.,0
A fighter for the rights of those who society has cast off.,0
"Perhaps it is because I don't agree with most of the political views of the main players of the book, but seemed that there was a bit too much whining about how the rich and the government tend to dismiss the homeless as riff-raff.",1
( this is not the place for me to get on a soap box and share my political views.. so I won't ).,1
"While doing the research for a law suit, he finds that his former firm has been more than loosely involved in illegal activity regarding the homeless.",0
He decides to take on the world ( not unlike in Rudy from the Rainmaker ),1
"Over all, it appears that the deadline to get this year's Grisham book came a bit quick for John, either that, or he was specifically looking for a movie contract for this story, either way, it was not his best work--but it still held my attention through the whole book",1
"Ah, if only good writers could stay at the top of their game forever...unfortunately, this isn't the case and it's always sad to see one of your favorite authors turn out a lackluster book that seemed to be written with a lack of regard for his readers' intelligence as well as hastily written and poorly edited.",1
"This is the case with James Patterson's latest Alex Cross thriller, Violets Are Blue.",0
The Premise,0
Alex Cross is back as a D.C. detective who again pairs up with the FBI to help solve a series of horrific murders that appear to have been committed by vampires.,0
"As he works on the case, he continues to be stalked by his old nemesis The Mastermind.",0
"Along the way, he meets up with yet another pretty detective who he begins to fall for, leaves his family in the lurch again and again, and does pretty much everything he's been doing in the past novels.",0
The Pros,0
The book is written in traditional Patterson style of no frills.,1
"The chapters are only two or three pages apiece, the sentences are short and to the point.",0
Readers will likely breeze through this one in a day or two.,0
"If this weren't the case, I have a feeling that many readers would have given up before the end due to boredom, frustration or the maddening feeling of' What the hell is Patterson thinking when he wrote this?' while they read.",1
The Cons,0
I couldn't help it with this book--I ripped it apart.,1
"I actually kept a piece of paper with me as I read because I found so many flaws, each one nettling me so much that I had to write it down so as not to forget it in my review.",1
This book is not well-written.,1
"Although Patterson got away with his completely plot-driven books before because the plot was so good, this plot stumbles along and leaves you looking at the writing.",0
"In chapters that are written from Cross's point of view, he uses stupid little lines ( that Cross is saying to himself ) like"" Oh, no Kyle!",1
"God no!"" and""Kyle, Kyle have mercy on us"".",1
His descriptions of people are borderline ridiculous.,0
"After describing one character, a supposed vampire's, appearance, he adds the stupid line,"" He was dark and dangerous looking.""",0
"Another is described as,"" The most sinister looking man I had ever seen.""",0
And he has an unnerving habit of hammering into our skulls that pretty women are pretty.,0
"Every time one woman comes into the storyline, he has to mention something about her looks, even though he's already described her as beautiful.",0
"It would be okay if it was well-done, but it's not.",1
"The lines, like"" She looked at me and she had such beautiful eyes"" made me cringe.",0
"This is the writing of a complete amateur, not someone who is at the top of his game, as Patterson should be by now.",1
2. The book is full of inconsistencies or muddy areas.,0
"For example, a character is identified as Arthur, and is then called Brody a few pages later.",0
"This is similar to something I found upsetting in Roses Are Red: there are at least four characters named Betsey, including a major character.",0
"When I first started reading it, I thought that it was a pattern and would be explained.",0
Nope.,1
Apparently he just liked the name Betsey or kept forgetting he'd already used it.,0
This is a product of bad editing.,0
"Come on, James, you're rollin' in the dough!",0
Hire a professional editor!,0
I'd be available for next to nothing!,0
3. He takes a few jabs at his children that made me mad.,0
"Damon and Jannie have never been described as anything but angelic, but in this book he refers to them as'the little creeps' and says Jannie'can be good when she tries'.",1
Huh?,0
"I think anyone would kill to have such well-behaved, sweet children, as Cross always has seemed to think in the past.",0
It doesn't make any sense!,1
"4. The things Cross does, we've seen book after book and it's getting very tiresome and irritating.",0
He always gets matched up with an attractive woman in law enforcement ( how many of these can there be?!,0
I don't think I've ever seen any in real life! ) who he starts falling for.,1
"He's always saying he needs to stay home more often, then runs off for days on end on another case, leaving his family high and dry.",0
"This is especially irritating in this book because The Mastermind is threatening his family throughout, yet he keeps leaving to pursue this case and leaves them alone with their 80-year-old grandmother and no other protection!",1
"When the Mastermind calls and again threatens them, he acts as if he's forgotten they were in danger and calls in his trusty buddy Sampson, who rushes over and watches out for them.",0
"Come on, Cross, your kids' mother was violently murdered, you're all they have left and you're taking off when they're in danger and endangering yourself?",0
"I've always liked Cross's character in the past, but he got on my nerves here.",0
5. The plot.,0
"There is the dual plot of The Mastermind and the vampire killings, the last of which is solved with a'who cares?' near the end of the book to concentrate on The Mastermind.",0
The dual plot isn't interwoven enough to make it work.,1
"Plus, where Patterson usually writes believably about investigations, this one has some very unbelievable leaps of faith.",0
"Cross finds that some magicians are performing in the areas that the murders were committed, and, from that alone, they brand them the killers and are able to get a huge FBI team to follow them.",0
Hmmm...a little more evidence would be good here!,0
